date,value
2000-01-04,99668.20387522121
2000-01-05,99925.51174116801
2000-01-06,100902.59101044756
2000-01-07,101942.13968008259
2000-01-10,104221.21219974846
2000-01-11,103492.92027101357
2000-01-12,103372.51517963945
2000-01-13,104353.66808800664
2000-01-14,104658.38226662259
2000-01-18,104756.27663768244
2000-01-19,105062.62388175221
2000-01-20,104890.52276740165
2000-01-21,104863.6200722842
2000-01-24,104443.52639836128
2000-01-25,103585.5711292983
2000-01-26,103423.2379082057
2000-01-27,102861.52546057144
2000-01-28,101626.71238538044
2000-01-31,103291.96338785317
2000-02-01,104489.5166114503
2000-02-02,105367.7543328682
2000-02-03,105794.80693310668
2000-02-04,105860.58985231252
2000-02-07,105936.99870157815
2000-02-08,105803.81950651178
2000-02-09,105822.50909613079
2000-02-10,105527.77061199106
2000-02-11,105321.93587780236
2000-02-14,105244.44857753368
2000-02-15,105062.42870014031
2000-02-16,104471.7605983807
2000-02-17,106301.5021572702
2000-02-18,105998.54120303388
2000-02-22,105912.40608623321
2000-02-23,107628.35858449721
2000-02-24,107440.84864723316
2000-02-25,106843.84830864354
2000-02-28,107848.20216329207
2000-02-29,108447.87634704672
2000-03-01,108469.06333596652
2000-03-02,108322.80371501316
2000-03-03,111010.80130828731
2000-03-06,110855.12841650366
2000-03-07,112852.0136308916
2000-03-08,112756.28872744698
2000-03-09,112643.9355491888
2000-03-10,113973.34977160377
2000-03-13,112819.82271123023
2000-03-14,111917.92648134282
2000-03-15,114275.56503487237
2000-03-16,116959.77176648028
2000-03-17,117442.81780442763
2000-03-20,116875.94145701434
2000-03-21,116415.15601740334
2000-03-22,117025.17389427233
2000-03-23,117424.25915747228
2000-03-24,117214.82639755188
2000-03-27,117862.66555635494
2000-03-28,117446.26361253567
2000-03-29,117083.01127014638
2000-03-30,116853.54284426637
2000-03-31,119931.36290308043
2000-04-03,120971.4969673952
2000-04-04,117157.04525934116
2000-04-05,118607.56432197055
2000-04-06,119906.19134031673
2000-04-07,120230.9584284986
2000-04-10,120017.18012059253
2000-04-11,120044.53746113631
2000-04-12,120075.40605648345
2000-04-13,119993.401970337
2000-04-14,116025.58256512615
2000-04-17,120207.96343951495
2000-04-18,126661.58196071943
2000-04-19,126849.12200711247
2000-04-20,127719.56150015628
2000-04-24,128179.00504179309
2000-04-25,128407.42273520687
2000-04-26,128459.13334330134
2000-04-27,128381.42390519568
2000-04-28,128028.87982728254
2000-05-01,128427.9918240159
2000-05-02,128740.04558014704
2000-05-03,128506.58974159125
2000-05-04,128170.68857591794
2000-05-05,128356.26926723108
2000-05-08,128829.50273276817
2000-05-09,127862.10144684048
2000-05-10,126722.47887601258
2000-05-11,127449.91181253985
2000-05-12,128434.12152363156
2000-05-15,130389.38786519662
2000-05-16,131073.4531763914
2000-05-17,131100.18211013937
2000-05-18,131135.2592124361
2000-05-19,130937.85423261243
2000-05-22,131187.73801718286
