symbol,entry_date,exit_date,exit_reason,pnl,return
BAC,2000-06-15,2000-06-16,position_stop,-1023.9214724718013,-0.07588576922129861
AIG,2000-06-15,2000-06-20,position_stop,-1404.1248365182898,-0.06643157804184674
C,2000-06-15,2000-06-22,hold_expired,-711.7614662575802,-0.040466560376295986
SLB,2000-06-15,2000-06-22,hold_expired,374.9397154863531,0.022914401153806354
BAC,2000-06-16,2000-06-23,hold_expired,-248.8877054544472,-0.013100449576865484
AIG,2000-06-23,2000-06-30,hold_expired,-31.351946996908403,-0.0015942851723479774
DIS,2000-06-23,2000-06-30,hold_expired,-360.23967644726724,-0.020538162166003404
GE,2000-06-23,2000-06-30,hold_expired,1137.4356595592349,0.06264900662563341
PFE,2000-06-23,2000-07-10,hold_expired,762.0004217110023,0.04217379768728759
AIG,2000-07-03,2000-07-11,hold_expired,817.4520498252657,0.0247882791867533
AXP,2000-07-03,2000-07-11,hold_expired,681.1590073641536,0.033767868061404395
C,2000-07-03,2000-07-11,hold_expired,860.1091786712966,0.07106674523823979
MRK,2000-07-11,2000-07-13,position_stop,-1904.9876320651747,-0.07451281694655577
PFE,2000-07-10,2000-07-14,position_stop,-852.2475314276618,-0.05757439545675386
JNJ,2000-07-11,2000-07-14,position_stop,-2045.5979169779575,-0.08363208413664075
AIG,2000-07-11,2000-07-18,hold_expired,-294.9380470738955,-0.018529439466423412
MRK,2000-07-13,2000-07-19,position_stop,-1066.9822378479944,-0.05609637478489474
JNJ,2000-07-14,2000-07-21,hold_expired,122.60634657724917,0.004722683974947401
PFE,2000-07-14,2000-07-21,hold_expired,279.89552823385037,0.017969375102194148
AIG,2000-07-18,2000-07-25,hold_expired,597.1503469856436,0.03827892867667051
MRK,2000-07-19,2000-07-26,hold_expired,1203.690899926924,0.07275591047215137
PFE,2000-07-21,2000-07-26,position_stop,-1054.0065598478905,-0.05183175370674371
JNJ,2000-07-25,2000-08-01,hold_expired,246.73799100463606,0.013995665249269706
BA,2000-07-21,2000-08-04,hold_expired,867.3158410682956,0.04669587913594574
AMGN,2000-08-01,2000-08-08,hold_expired,124.16991590040638,0.007224488758368869
PFE,2000-07-26,2000-08-09,trailing_stop,-375.64970342121603,-0.017304751617995315
KO,2000-07-26,2000-08-09,trailing_stop,282.9347747917976,0.01693348707060684
BA,2000-08-04,2000-08-11,hold_expired,283.26062951019986,0.01565152788579293
JNJ,2000-08-08,2000-08-15,hold_expired,-107.09825161368016,-0.00602025084183059
KO,2000-08-09,2000-08-16,hold_expired,378.65439753848074,0.014560148053195932
PFE,2000-08-09,2000-08-16,hold_expired,283.95691130480253,0.018198847417667374
BA,2000-08-11,2000-08-16,position_stop,-1158.6594004897956,-0.06929987722141921
JNJ,2000-08-15,2000-08-22,hold_expired,351.8258696678061,0.020561946693163358
KO,2000-08-16,2000-08-23,hold_expired,-686.3810371062297,-0.031221095282258776
AXP,2000-08-16,2000-08-23,hold_expired,-0.37226738411970817,-2.822319736148246e-05
JNJ,2000-08-22,2000-08-29,hold_expired,-725.0438452390317,-0.048633388171615916
BA,2000-08-16,2000-08-30,hold_expired,3900.0942791104067,0.1366382320962724
KO,2000-08-23,2000-08-30,position_stop,-1760.315900732517,-0.07740165356589371
MS,2000-08-23,2000-08-30,hold_expired,574.7413515438454,0.04212123242444383
INTC,2000-08-30,2000-09-05,position_stop,-895.5711421922789,-0.05784747841549958
JNJ,2000-08-29,2000-09-06,hold_expired,36.70408691010003,0.0026462952303844367
KO,2000-08-30,2000-09-07,hold_expired,-120.87744125642507,-0.004684453205217864
C,2000-09-05,2000-09-12,hold_expired,-279.35699614420486,-0.01846180381878363
MS,2000-09-06,2000-09-13,hold_expired,-233.00243724018569,-0.015910712796366643
BA,2000-08-30,2000-09-14,hold_expired,2678.879300958456,0.11187487514597418
AIG,2000-09-07,2000-09-14,hold_expired,1139.0609281780942,0.05975432492595127
MS,2000-09-13,2000-09-15,position_stop,-930.518061068751,-0.05743615877368379
C,2000-09-12,2000-09-18,position_stop,-923.3472132187815,-0.053100364477575275
JPM,2000-09-14,2000-09-18,position_stop,-1174.3978696969166,-0.06879138587401137
MS,2000-09-15,2000-09-18,position_stop,-830.4946809191808,-0.05078206585851003
